Actual Time	Age	Community Building	Community Membership_Family	Community Membership_Hobbies	Community Membership_None	Community Membership_Other	Community Membership_Political	Community Membership_Professional	Community Membership_Religious	Community Membership_Support	Country	Disability_Cognitive	Disability_Hearing	Disability_Motor	Disability_Not Impaired	Disability_Not Say	Disability_Vision	Education Attainment	Falsification of Information	Gender	Household Income	How You Heard About Survey_Banner	How You Heard About Survey_Friend	How You Heard About Survey_Mailing List	How You Heard About Survey_Others	How You Heard About Survey_Printed Media	How You Heard About Survey_Remebered	How You Heard About Survey_Search Engine	How You Heard About Survey_Usenet News	How You Heard About Survey_WWW Page	Major Geographical Location	Major Occupation	Marital Status	Most Import Issue Facing the Internet	Opinions on Censorship	Primary Computing Platform	Primary Language	Primary Place of WWW Access	Race	Not Purchasing_Bad experience	Not Purchasing_Bad press	Not Purchasing_Cant find	Not Purchasing_Company policy	Not Purchasing_Easier locally	Not Purchasing_Enough info	Not Purchasing_Judge quality	Not Purchasing_Never tried	Not Purchasing_No credit	Not Purchasing_Not applicable	Not Purchasing_Not option	Not Purchasing_Other	Not Purchasing_Prefer people	Not Purchasing_Privacy	Not Purchasing_Receipt	Not Purchasing_Security	Not Purchasing_Too complicated	Not Purchasing_Uncomfortable	Not Purchasing_Unfamiliar vendor	Registered to Vote	Sexual Preference	Web Ordering	Web Page Creation	Who Pays for Access_Don't Know	Who Pays for Access_Other	Who Pays for Access_Parents	Who Pays for Access_School	Who Pays for Access_Self	Who Pays for Access_Work	Willingness to Pay Fees	Years on Internet	who
Consultant	63	More	0	1	0	0	0	0	0	0	Georgia	0	0	1	0	0	0	College	Under 25	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Taxes	1	Macintosh	English	Home	White	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id91660
Service Industry Occupation	27	Dont Know	0	0	1	0	0	0	0	0	Ohio	0	0	0	1	0	0	High School	Never	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Married	Taxes	1	Win95	English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id96194
College Student	52	Dont Know	1	0	1	0	0	0	0	0	Texas	0	0	0	1	0	0	College	Under 25	Female	$10-19	0	0	0	0	0	0	0	0	1	USA	Education	Widowed	Privacy	1	Win95	English	Primarily work	White	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Already paying	1-3 yr	id96849
Counselor	42	More	0	0	0	0	0	0	0	1	Florida	0	0	1	0	0	0	High School	Never	Male	$10-19	0	0	0	0	0	0	1	0	0	USA	Professional	Separated	Privacy	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id92273
CEO	52	More	0	0	0	0	0	1	0	0	Florida	0	0	0	1	0	0	Some College	Never	Female	$50-74	0	0	0	1	0	0	0	0	0	USA	Management	Married	Taxes	4	Macintosh	English	Other	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	1	0	Poor quality	1-3 yr	id96912
College Student	25	Dont Know	0	0	1	0	0	0	0	0	Ontario	0	0	0	1	0	0	Masters	Never	Female	$10-19	0	0	0	0	0	0	0	0	1	Canada	Education	Married	Culture	4	Win95	English	School	White	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	Yes	Bisexual	No	No	0	0	0	1	0	0	Other sources	1-3 yr	id98348
Other	37	More	0	1	0	1	0	1	0	1	Ohio	0	0	0	1	0	0	College	Over 75	Male	$40-49	0	0	0	0	1	0	0	0	1	USA	Computer	Single	Censorship	4		English	Primarily home	White	0	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	0	1	1	Yes	Gay male	Yes	No	0	0	0	0	1	1	Already paying	4-6 yr	id99292
Engineer	23	More	1	1	0	1	0	0	0	1	Illinois	0	0	0	1	0	0	College	51-75	Male	$30-39	0	0	0	1	0	0	0	0	0	USA	Professional	Single	Taxes	1	Macintosh	English	Primarily work	Latino	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	1	1	Other sources	4-6 yr	id96915
Retired	69	Equally	0	0	1	0	0	0	0	0	Arizona	0	0	1	0	0	0	Special	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Widowed	Other	4		English	Home	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90427
Other	27	More	0	1	0	1	1	0	1	0	Australia	0	0	0	1	0	0	Some College	Under 25	Female	$20-29	0	0	1	0	0	0	0	0	0	Oceania	Management	Single	Taxes	4	Macintosh	English	Work	White	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	1	0	1	Already paying	4-6 yr	id98128
Retired	Not Say!	More	0	1	0	0	0	0	0	0	Nevada	0	0	0	1	0	0	Other	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id96670
College Student	Not Say!	Equally	0	0	0	1	0	0	0	0	Oregon	0	0	0	1	0	0	Some College	Not Say	Male	Not Say	0	0	0	1	0	0	0	0	0	USA	Education	Single	Culture	4	Macintosh	Spanish	Primarily home	Latino	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id99502
Physician	44	Dont Know	0	0	1	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	Professional	Never	Male	$50-74	0	0	0	1	0	0	0	0	0	USA	Professional	Married	Censorship	2	Macintosh	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	1-3 yr	id94135
Other	49	Dont Know	1	0	0	0	0	0	0	1	Texas	0	0	0	1	0	0	Some College	Never	Female	$30-39	0	0	0	0	0	0	0	1	0	USA	Other	Widowed	Navigation	3		English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90646
Consultant	52	Equally	0	1	0	0	0	1	0	0	Wisconsin	0	0	0	1	0	0	Special	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Navigation	4	Windows	English	Primarily home	White	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	1	Already paying	Under 6 mo	id90647
Other	33	Equally	0	0	1	0	0	0	0	0	Illinois	0	0	0	1	0	0	Special	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Other	1	Win95	English	Primarily work	White	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	No	Heterosexual	Yes	No	0	0	0	0	1	0	Other	Under 6 mo	id98760
Artist/Musician	43	More	0	0	0	0	0	0	0	1	Oregon	0	0	0	0	1	0	High School	Never	Male	Under $10	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Yes	Bisexual	Yes	Yes	0	0	0	0	1	0	Already paying	Under 6 mo	id90648
Administrator/Secretary	23	Dont Know	0	1	0	0	0	0	0	1	California	0	0	0	1	0	0	Some College	Under 25	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Married	Privacy	2	Win95	English	Primarily work	Other	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Already paying	6-12 mo	id97051
Other	43	More	0	1	0	0	0	1	0	0	Australia	0	0	0	1	0	0	Some College	Never	Male	Not Say	0	0	0	0	1	0	0	0	0	Oceania	Professional	Married	Privacy	1	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Dont trust	6-12 mo	id90573
Manager	56	Dont Know	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Masters	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	Yes	Heterosexual	No	Yes	0	0	0	0	1	1	Other sources	6-12 mo	id94419
Programmer	23	More	0	1	0	0	0	1	0	0	Washington D.C.	0	0	0	0	1	0	College	26-50	Female	$30-39	0	0	0	0	0	1	0	0	0	USA	Computer	Widowed	Censorship	2	Win95	English	Primarily work	White	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	4-6 yr	id97488
K-12 Student	16	More	0	1	0	0	0	0	0	0	Manitoba	0	0	0	1	0	0	Grammar	Never	Female	Not Say	0	0	0	0	0	0	0	0	1	Canada	Education	Single	Navigation	1	Dont Know	English	Home	White	0	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	No	Heterosexual	No	No	0	0	0	0	0	1	Other sources	4-6 yr	id90529
Manager	23	Less	0	0	1	0	0	0	0	0	Tennessee	0	0	0	1	0	0	Some College	Under 25	Male	$30-39	0	0	1	0	0	0	0	0	0	USA	Management	Single	Taxes	4	NT	English	Primarily work	White	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	1-3 yr	id90658
Other	31	More	0	0	1	0	0	0	0	0	Rhode Island	0	0	0	1	0	0	High School	Never	Male	$30-39	0	1	1	0	1	0	0	0	0	USA	Other	Married	Dont Know	2		Spanish	Home	Hispanic	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	Don't know	0	0	0	0	1	0	Already paying	Under 6 mo	id90660
K-12 Educator	50	Dont Know	0	0	1	0	0	0	0	0	Maine	0	0	0	1	0	0	College	Never	Female	$40-49	0	0	0	0	0	0	0	0	1	USA	Education	Married	Privacy	1	Macintosh	English	Home	White	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	1	0	0	0	0	Other sources	6-12 mo	id92844
Other	42	More	1	0	0	0	0	0	0	1	Missouri	0	0	0	1	0	0	Special	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Divorced	Privacy	3	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id96329
Engineer	40	Dont Know	1	0	0	0	0	1	0	0	Arizona	0	0	0	1	0	0	College	Never	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Taxes	4	Win95	English	Primarily work	Hispanic	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	4-6 yr	id99607
K-12 Student	17	Dont Know	0	0	0	0	0	1	0	0	New York	0	0	0	1	0	0	High School	Under 25	Male	Not Say	1	0	0	0	0	0	0	0	0	USA	Education	Single	Don't Know	3		Englishmalay	Primarily home	Asian	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Not Applicable	Bisexual	No	Yes	0	0	1	0	0	0	Already paying	1-3 yr	id99202
Other	7	Equally	0	1	0	0	0	0	0	0	Minnesota	0	0	0	1	0	0	Some College	NA	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Professional	Married	Dont Know	1		English	Home	White	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	Under 6 mo	id90664
Writer/Journalist	48	Equally	1	1	0	0	1	1	0	1	Oregon	0	0	0	1	0	0	College	Under 25	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Professional	Divorced	Censorship	3	Win95	English	Primarily home	White	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	1-3 yr	id90665
Retired	46	More	1	0	0	0	0	0	0	1	Florida	0	0	1	0	0	1	Some College	NA	Female	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Divorced	Censorship	4		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	Not Applicable	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id90666
Other	51	More	1	0	0	1	0	1	0	0	Hong Kong	0	0	0	1	0	0	High School	Never	Male	$75-99	0	0	0	0	0	0	0	0	1	Asia	Professional	Married	Privacy	1	Win95	English	Primarily home	White	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	4-6 yr	id90667
College Student	19	More	1	1	0	1	0	1	1	0	Oregon	0	0	0	1	0	0	Some College	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Education	Single	Taxes	1	Win95	English	Primarily work	White	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Already paying	4-6 yr	id96180
Administrator/Secretary	37	Equally	1	1	0	1	0	0	0	0	Alabama	0	0	0	1	0	0	High School	51-75	Female	$20-29	0	0	0	0	0	0	0	0	1	USA	Other	Other	Taxes	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	Dont know	No	0	0	0	0	1	0	Already paying	6-12 mo	id90668
Service Industry Occupation	27	Equally	0	1	0	0	0	0	0	0	New Jersey	0	0	0	1	0	0	High School	Never	Female	$40-49	0	0	0	1	0	0	0	0	0	USA	Other	Married	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	6-12 mo	id90669
College Educator	46	More	0	0	0	0	0	1	0	0	Ontario	0	0	0	1	0	0	Doctoral	Never	Male	Over $100	0	0	0	0	0	0	1	0	0	Canada	Education	Married	Taxes	4	Win95	English	Primarily home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	0	0	1	0	0	Cost too high	Over 7 yr	id90436
Other	38	More	0	1	0	0	0	1	0	0	Washington D.C.	0	0	0	0	0	1	Masters	51-75	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Separated	Privacy	2	Macintosh	English	Primarily work	White	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id96920
Entertainment	43	Less	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	College	51-75	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Professional	Single	Privacy	1	Macintosh	English	Primarily home	White	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	1-3 yr	id96921
Administrator/Secretary	45	Dont Know	0	0	0	0	0	0	0	1	Texas	0	0	0	1	0	0	High School	Never	Male	$50-74	0	0	0	0	0	0	1	0	1	USA	Other	Divorced	Culture	4	Win95	English	Home	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Poor quality	6-12 mo	id97886
Other	40	Dont Know	0	1	0	0	0	0	0	0	Pennsylvania	0	0	0	1	0	0	Some College	Under 25	Female	$30-39	0	0	0	1	0	0	0	0	0	USA	Computer	Single	Censorship	1	NT	English	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Not say	Yes	Yes	0	0	0	0	1	1	Already paying	4-6 yr	id90674
Other	31	Dont Know	0	1	0	0	0	0	0	0	Colorado	0	0	0	1	0	0	Special	Never	Female	$40-49	0	0	0	0	0	0	0	1	0	USA	Computer	Married	Navigation	3	Win95	English	School	White	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	1	0	0	Other sources	Under 6 mo	id92974
K-12 Student	16	Equally	0	1	0	0	0	0	0	0	New Hampshire	0	0	0	1	0	0	Grammar	Never	Male	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Not Say	Other	2	Win95	English	Primarily home	White	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	Not Applicable	Heterosexual	Yes	Yes	0	1	0	0	1	0	Other sources	6-12 mo	id98474
Other	24	Dont Know	0	0	1	0	0	0	0	0	Nebraska	0	0	0	1	0	0	Special	Over 75	Female	Not Say	1	0	0	0	0	0	0	0	0	USA	Other	Single	Taxes	3		English	Home	White	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Payment mechanism	Under 6 mo	id90680
Other	24	Dont Know	0	0	0	0	0	1	0	0	Washington	0	0	0	1	0	0	Special	51-75	Female	$20-29	0	0	1	0	0	0	0	0	0	USA	Computer	Single	Navigation	3	NT	English	Primarily work	White	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	No	Bisexual	No	Yes	0	0	0	0	0	1	Other sources	1-3 yr	id99234
Other	24	More	0	1	0	0	0	0	0	0	Indiana	0	0	0	1	0	0	High School	Never	Male	$30-39	1	0	0	0	0	0	0	0	0	USA	Other	Single	Censorship	2		English	Home	Other	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	No	Heterosexual	Yes	No	0	0	0	0	1	0	Other sources	6-12 mo	id90682
College Student	37	More	1	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	Masters	26-50	Male	Over $100	0	1	0	0	0	0	0	0	0	USA	Education	Married	Language	1	Win95	English	Primarily home	Not Say	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	1	0	0	Other sources	1-3 yr	id39899
K-12 Student	14	Dont Know	0	0	1	0	0	0	0	0	Georgia	0	0	0	1	0	0	Grammar	NA	Female	Not Say	0	0	0	0	0	0	0	0	1	USA	Education	Single	Don't Know	4	Windows	English	School	White	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	Not Applicable	Heterosexual	No	No	1	0	0	0	0	0	Already paying	Under 6 mo	id93478
Manager	44	More	1	0	0	0	0	0	0	0	New York	0	0	0	1	0	0	High School	Never	Female	$75-99	0	0	0	0	0	0	0	1	0	USA	Management	Other	Navigation	1		English	Home	White	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	Yes	Heterosexual	No	Yes	0	0	0	0	1	0	Other sources	Under 6 mo	id94805
Other	27	More	0	1	0	0	0	1	0	0	Netherlands	0	0	0	1	0	0	College	26-50	Male	$50-74	0	0	1	0	0	0	0	0	0	Europe	Management	Divorced	Other	2	Win95	Dutch	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Poor quality	4-6 yr	id90685
Programmer	28	More	0	0	0	0	0	1	0	0	Netherlands	0	0	0	1	0	0	College	Under 25	Male	$50-74	0	0	0	1	0	1	0	0	0	Europe	Computer	Other	Navigation	2	NT	Dutch	Primarily work	White	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	1	Other sources	Over 7 yr	id91517
Networking	43	More	0	1	0	0	1	1	0	1	Germany	0	0	0	1	0	0	Masters	Not Say	Male	$20-29	0	0	0	0	0	0	0	0	1	Europe	Computer	Divorced	Privacy	1	Win95	German	Work	White	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Payment mechanism	6-12 mo	id96677
Marketing Professional	33	Less	0	0	1	0	0	0	0	0	California	0	0	0	1	0	0	Masters	26-50	Male	Over $100	0	0	1	0	0	0	0	0	0	USA	Professional	Married	Privacy	1	Macintosh	English	Primarily work	White	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	1	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	4-6 yr	id98004
Retired	61	More	1	0	0	0	0	0	0	0	Oregon	0	0	0	1	0	0	Masters	NA	Male	$30-39	1	0	0	0	0	0	0	0	0	USA	Other	Married	Other	1		English	Home	White	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	Under 6 mo	id93804
Other	50	More	0	0	0	0	1	1	1	1	West Virginia	0	0	0	1	0	0	Doctoral	26-50	Male	$50-74	0	0	0	0	0	0	0	0	1	USA	Computer	Single	Privacy	3	Win95	English	Home	White	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	Yes	Gay male	Yes	Yes	0	0	0	0	1	0	Other sources	Under 6 mo	id93806
Programmer	31	Equally	0	1	0	1	0	1	0	0	Texas	0	0	0	1	0	0	College	Under 25	Male	Over $100	0	0	1	0	0	0	0	0	0	USA	Computer	Married	Other	4	Macintosh	English	Primarily work	White	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	Over 7 yr	id60601
Consultant	48	Dont Know	0	0	0	0	0	1	0	0	Virginia	0	0	0	1	0	0	College	Never	Male	Not Say	1	0	0	0	0	0	0	0	0	USA	Professional	Not Say	Privacy	4		English	Distributed	Not Say	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Cost too high	Under 6 mo	id90688
Other	39	Equally	1	1	0	0	0	0	0	0	Alabama	0	0	0	1	0	0	High School	Never	Female	$50-74	0	0	0	0	0	0	0	0	1	USA	Other	Married	Navigation	1	Win95	English	Home	White	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Already paying	1-3 yr	id94949
Retired	64	Dont Know	0	0	1	0	0	0	0	0	New York	0	0	0	1	0	0	Special	Never	Male	$30-39	0	0	0	0	0	0	0	0	1	USA	Other	Married	Other	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	1	0	Don't trust	Under 6 mo	id90690
Service Industry Occupation	23	Equally	1	1	0	0	0	0	0	0	Georgia	0	0	0	1	0	0	Some College	51-75	Male	$10-19	0	0	0	0	0	0	0	0	1	USA	Other	Single	Censorship	1	Win95	English	Home	Not Say	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	0	Already paying	6-12 mo	id90692
College Student	23	Dont Know	0	0	1	0	0	0	0	0	Ontario	0	0	0	1	0	0	College	NA	Male	Not Say	0	0	0	0	0	0	0	0	1	Canada	Education	Single	Encryption	1	Win95	English	Primarily home	Not Say	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Not Say	Not say	Yes	No	0	0	1	0	1	0	Other sources	1-3 yr	id90693
Looking	28	Dont Know	0	0	1	0	0	0	0	0	Kansas	0	0	0	1	0	0	Some College	Under 25	Male	$40-49	0	0	0	0	0	0	0	0	1	USA	Other	Other	Censorship	1		English	Home	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	1	0	Other sources	4-6 yr	id97046
Other	28	More	0	0	0	1	0	1	0	0	Netherlands	0	0	0	1	0	0	Some College	Never	Male	$20-29	0	0	0	0	0	0	1	0	0	Europe	Computer	Single	Censorship	2	Win95	Dutch	Primarily work	White	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	4-6 yr	id97955
Vice President	38	Equally	0	0	0	0	0	1	0	0	North Carolina	0	0	0	1	0	0	Some College	Never	Male	Over $100	0	0	0	0	0	0	0	0	1	USA	Management	Other	Censorship	1	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	No	Heterosexual	Yes	Yes	0	0	0	0	1	1	Already paying	1-3 yr	id93822
Networking	24	Equally	1	0	0	0	0	1	0	0	Michigan	0	0	0	1	0	0	Special	Never	Male	$30-39	0	0	1	0	0	0	0	0	0	USA	Computer	Married	Navigation	1	Win95	English	Work	White	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Yes	Heterosexual	No	No	0	0	0	0	0	1	Other sources	4-6 yr	id84356
College Educator	28	Equally	0	1	0	0	0	0	0	0	Brazil	0	0	0	1	0	0	Professional	Never	Male	$10-19	0	0	0	0	0	0	0	0	1	South America	Education	Single	Censorship	1	Win95	English	Work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	0	1	Other sources	1-3 yr	id93823
Programmer	30	More	0	1	0	0	0	1	0	0	United Kingdom	0	0	0	1	0	0	Some College	Never	Male	$30-39	0	0	0	1	0	0	0	0	0	Europe	Computer	Single	Taxes	1	Win95	English	Work	White	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Yes	Heterosexual	Yes	Yes	0	0	0	0	0	1	Other sources	6-12 mo	id96936
Other	24	More	0	1	0	1	0	0	0	0	Washington	0	0	0	1	0	0	College	Never	Female	$10-19	0	0	0	1	0	0	0	0	0	USA	Other	Not Say	Privacy	1	Macintosh	English	Primarily home	White	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	Yes	Not say	Yes	No	0	1	0	0	1	0	Already paying	4-6 yr	id98138
Attorney/Judge	55	Dont Know	1	0	0	0	0	0	0	0	New York	0	0	0	1	0	0	Professional	Never	Male	Not Say	1	0	0	0	0	0	0	0	0	USA	Professional	Married	Privacy	1		English	Home	White	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	Yes	Heterosexual	No	No	0	0	0	0	1	0	Other sources	6-12 mo	id90695
CFO	35	More	0	0	0	0	0	1	0	0	New York	0	0	0	1	0	0	Masters	26-50	Male	$75-99	0	0	0	0	0	0	0	0	1	USA	Management	Married	Privacy	4	Win95	English	Primarily work	White	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	Yes	Heterosexual	Yes	No	0	0	0	0	1	1	Other sources	1-3 yr	id39210
